data,alg,k,d,avg,std
MovieLens,SingleObj,2,2,0.024136576,0
MovieLens,Polytope,20,2,0.0001,0
MovieLens,HS-RRM,20,2,0.0001,0
MovieLens,RRMS,20,2,0.00012246,0
MovieLens,RRMS-Star,20,2,0.000380502,0
MovieLens,SingleObj,3,3,0.037369858,0
MovieLens,Polytope,25,3,0.003055444,0
MovieLens,HS-RRM,25,3,0.00093124,0.000268393
MovieLens,RRMS,25,3,0.009743644,0.001966897
MovieLens,RRMS-Star,25,3,0.015003102,0.004433671
MovieLens,SingleObj,4,4,0.027945182,0
MovieLens,Polytope,25,4,0.007758132,0
MovieLens,HS-RRM,25,4,0.001408142,0.000507793
MovieLens,RRMS,25,4,0.0216426,0.005015491
MovieLens,RRMS-Star,25,4,0.074580891,0.009813982
MovieLens,SingleObj,5,5,0.038885171,0
MovieLens,Polytope,25,5,0.00964593,0
MovieLens,HS-RRM,25,5,0.001716169,0.000392852
MovieLens,RRMS,25,5,0.019045451,0.003738689
MovieLens,RRMS-Star,25,5,0.080274323,0.008091139
MovieLens,SingleObj,6,6,0.034683731,0
MovieLens,Polytope,25,6,0.011381111,0
MovieLens,HS-RRM,25,6,0.002075369,0.000812938
MovieLens,RRMS,25,6,0.013788938,0.000143274
MovieLens,RRMS-Star,25,6,0.051234333,0.009527697
MovieLens,SingleObj,7,7,0.031003978,0
MovieLens,Polytope,25,7,0.013823434,0
MovieLens,HS-RRM,25,7,0.002711775,0.000379699
MovieLens,RRMS,25,7,0.01982147,0.003738656
MovieLens,RRMS-Star,25,7,0.042951614,0.010596177
