data,alg,k,d,avg,std
email-Eu-core,SingleObj,2,2,0.097604172,0
email-Eu-core,Polytope,20,2,0.004104572,0
email-Eu-core,HS-RRM,20,2,0.0001,0
email-Eu-core,RRMS,20,2,0.006967978,0
email-Eu-core,RRMS-Star,20,2,0.004104572,0
email-Eu-core,SingleObj,3,3,0.169204356,0
email-Eu-core,Polytope,25,3,0.009854891,0
email-Eu-core,HS-RRM,25,3,0.005361867,0.000854738
email-Eu-core,RRMS,25,3,0.013337796,0.001277714
email-Eu-core,RRMS-Star,25,3,0.036121138,0.006428253
email-Eu-core,SingleObj,4,4,0.253518954,0
email-Eu-core,Polytope,25,4,0.034678961,0
email-Eu-core,HS-RRM,25,4,0.018816112,0.005864758
email-Eu-core,RRMS,25,4,0.055449711,0.004793428
email-Eu-core,RRMS-Star,25,4,0.067926286,0.024678698
email-Eu-core,SingleObj,5,5,0.316070062,0
email-Eu-core,Polytope,25,5,0.070956867,0
email-Eu-core,HS-RRM,25,5,0.029009879,0.006129023
email-Eu-core,RRMS,25,5,0.08297143,0.007715186
email-Eu-core,RRMS-Star,25,5,0.084795283,0.008594872
email-Eu-core,SingleObj,6,6,0.444719914,0
email-Eu-core,Polytope,25,6,0.079173899,0
email-Eu-core,HS-RRM,25,6,0.034386414,0.004479484
email-Eu-core,RRMS,25,6,0.088391213,0.021119978
email-Eu-core,RRMS-Star,25,6,0.095163151,0.032667984
email-Eu-core,SingleObj,7,7,0.367909074,0
email-Eu-core,Polytope,25,7,0.126173428,0
email-Eu-core,HS-RRM,25,7,0.042916111,0.004167938
email-Eu-core,RRMS,25,7,0.080382649,0.009674879
email-Eu-core,RRMS-Star,25,7,0.072493855,0.009264011
